id,manglish,malayalam,english
44,avan veettilu pokunnu,അവൻ വീട്ടിൽ പോകുന്നു,he is going at home
45,njan schoolilu urangunnu,ഞാൻ സ്കൂളിൽ ഉറങ്ങുന്നു,I is sleeping at school
46,aval chaaya pani cheyyunnu,അവൾ ചായ ജോലി ചെയ്യുന്നു,she is working tea
47,nee chaaya pokoonnoo,നീ ചായ പോകുന്നു,you is going tea
48,avan chaaya pani cheyyunnu,അവൻ ചായ ജോലി ചെയ്യുന്നു,he is working tea
49,aval vellam pani cheyyunnu,അവൾ വെള്ളം ജോലി ചെയ്യുന്നു,she is working water
50,njan veettilu pani cheyyoonnoo,ഞാൻ വീട്ടിൽ ജോലി ചെയ്യുന്നു,I is working at home
51,avan oorangoonnoo undo,അവൻ ഉറങ്ങുന്നു ഉണ്ടോ,is he sleeping?
52,pani cheyyunnuu,ജോലി ചെയ്യുന്നു,working
53,avan coffee padikkunnu,അവൻ കാപ്പി പഠിക്കുന്നു,he is studying coffee
54,avalu officeil padikkunnu,അവൾ ഓഫീസിൽ പഠിക്കുന്നു,she is studying at office
55,njan coffee pokunnuu,ഞാൻ കാപ്പി പോകുന്നു,I is going coffee
56,nammal pani cheyyunnu undo,നാം ജോലി ചെയ്യുന്നു ഉണ്ടോ,is we working?
57,njan kazhikkunnu undo,ഞാൻ കഴിക്കുന്നു ഉണ്ടോ,is I eating?
58,aval schoolil pokunnu,അവൾ സ്കൂളിൽ പോകുന്നു,she is going at school
59,njan vellam pani cheyyoonnoo,ഞാൻ വെള്ളം ജോലി ചെയ്യുന്നു,I is working water
60,avalu chaaya padikkunnuu,അവൾ ചായ പഠിക്കുന്നു,she is studying tea
61,njan pokunnu undo,ഞാൻ പോകുന്നു ഉണ്ടോ,is I going?
62,aval varunnuu undo,അവൾ വരുന്നു ഉണ്ടോ,is she coming?
63,njan officeil varunnu,ഞാൻ ഓഫീസിൽ വരുന്നു,I is coming at office
64,avan urangunnu undo,അവൻ ഉറങ്ങുന്നു ഉണ്ടോ,is he sleeping?
65,njan veettilu pani cheyyunnu,ഞാൻ വീട്ടിൽ ജോലി ചെയ്യുന്നു,I is working at home
66,avalu varunnuu undo,അവൾ വരുന്നു ഉണ്ടോ,is she coming?
67,nee padikkunnu undo,നീ പഠിക്കുന്നു ഉണ്ടോ,is you studying?
68,nee coffee varunnu,നീ കാപ്പി വരുന്നു,you is coming coffee
69,pokunnu,പോകുന്നു,going
70,nee schulil urangunnu,നീ സ്കൂളിൽ ഉറങ്ങുന്നു,you is sleeping at school
71,aval pani cheyyunnu undo,അവൾ ജോലി ചെയ്യുന്നു ഉണ്ടോ,is she working?
72,njan coffee varoonnoo,ഞാൻ കാപ്പി വരുന്നു,I is coming coffee
73,njanu schulil kazhikkoonnoo,ഞാൻ സ്കൂളിൽ കഴിക്കുന്നു,I is eating at school
74,nammalu veettil pokunnu,നാം വീട്ടിൽ പോകുന്നു,we is going at home
75,avalu schoolil varunnu,അവൾ സ്കൂളിൽ വരുന്നു,she is coming at school
76,nammal vellamu pokoonnoo,നാം വെള്ളം പോകുന്നു,we is going water
77,avan pusthakam pokunnu,അവൻ പുസ്തകം പോകുന്നു,he is going book
78,pokunnuu,പോകുന്നു,going
79,avan veettil pokunnu,അവൻ വീട്ടിൽ പോകുന്നു,he is going at home
80,aval veettil padeekkunnu,അവൾ വീട്ടിൽ പഠിക്കുന്നു,she is studying at home
81,nammal coffee kazhikkunnu,നാം കാപ്പി കഴിക്കുന്നു,we is eating coffee
82,aval schoolil kazhikkunnuu,അവൾ സ്കൂളിൽ കഴിക്കുന്നു,she is eating at school
83,kazhikkoonnoo,കഴിക്കുന്നു,eating
84,panee cheyyunnu,ജോലി ചെയ്യുന്നു,working
85,avan coffee pokunnu,അവൻ കാപ്പി പോകുന്നു,he is going coffee
86,aval offeeceeel pokunnu,അവൾ ഓഫീസിൽ പോകുന്നു,she is going at office
87,pani cheyyoonnoo,ജോലി ചെയ്യുന്നു,working
88,njan schulil kazhikkunnu,ഞാൻ സ്കൂളിൽ കഴിക്കുന്നു,I is eating at school
89,njan officeil urangunnu,ഞാൻ ഓഫീസിൽ ഉറങ്ങുന്നു,I is sleeping at office
90,nammal schulil kazhikkunnu,നാം സ്കൂളിൽ കഴിക്കുന്നു,we is eating at school
91,nammal varunnu undo,നാം വരുന്നു ഉണ്ടോ,is we coming?
92,nee pani cheyyunnu undo,നീ ജോലി ചെയ്യുന്നു ഉണ്ടോ,is you working?
93,nammal pokoonnoo undo,നാം പോകുന്നു ഉണ്ടോ,is we going?
94,nammal kazhikkunnuu undo,നാം കഴിക്കുന്നു ഉണ്ടോ,is we eating?
95,njan varunnu undo,ഞാൻ വരുന്നു ഉണ്ടോ,is I coming?
96,nee chaaya urangunnu,നീ ചായ ഉറങ്ങുന്നു,you is sleeping tea
97,avan kazhikkunnu undo,അവൻ കഴിക്കുന്നു ഉണ്ടോ,is he eating?
98,avan pokunnu undo,അവൻ പോകുന്നു ഉണ്ടോ,is he going?
99,aval kazhikkunnu undo,അവൾ കഴിക്കുന്നു ഉണ്ടോ,is she eating?
100,nammal padikkunnuu undo,നാം പഠിക്കുന്നു ഉണ്ടോ,is we studying?
101,aval vittil urangunnu,അവൾ വീട്ടിൽ ഉറങ്ങുന്നു,she is sleeping at home
102,aval veettil varunnu,അവൾ വീട്ടിൽ വരുന്നു,she is coming at home
103,nee coffee kazhikkunnu,നീ കാപ്പി കഴിക്കുന്നു,you is eating coffee
104,njan chaya urangunnuu,ഞാൻ ചായ ഉറങ്ങുന്നു,I is sleeping tea
105,aval schoolilu pani cheyyunnu,അവൾ സ്കൂളിൽ ജോലി ചെയ്യുന്നു,she is working at school
106,ni offeeceeel kazhikkunnu,നീ ഓഫീസിൽ കഴിക്കുന്നു,you is eating at office
107,nee kazhikkunnu undo,നീ കഴിക്കുന്നു ഉണ്ടോ,is you eating?
108,varoonnoo,വരുന്നു,coming
109,avan pusthakam padeekkunnu,അവൻ പുസ്തകം പഠിക്കുന്നു,he is studying book
110,avan schulil varunnu,അവൻ സ്കൂളിൽ വരുന്നു,he is coming at school
111,padikkoonnoo,പഠിക്കുന്നു,studying
112,aval poosthakam panee cheyyunnu,അവൾ പുസ്തകം ജോലി ചെയ്യുന്നു,she is working book
113,njanu varunnu undo,ഞാൻ വരുന്നു ഉണ്ടോ,is I coming?
114,nammal officeil urangunnu,നാം ഓഫീസിൽ ഉറങ്ങുന്നു,we is sleeping at office
115,ni schoolilu kazhikkunnu,നീ സ്കൂളിൽ കഴിക്കുന്നു,you is eating at school
116,nammal veetteel pokoonnoo,നാം വീട്ടിൽ പോകുന്നു,we is going at home
117,nammalu chaaya padikkunnu,നാം ചായ പഠിക്കുന്നു,we is studying tea
118,njan officeil padikkunnu,ഞാൻ ഓഫീസിൽ പഠിക്കുന്നു,I is studying at office
119,ni pokunnu undo,നീ പോകുന്നു ഉണ്ടോ,is you going?
120,aval pokunnu undo,അവൾ പോകുന്നു ഉണ്ടോ,is she going?
121,nammal veettil padikkunnu,നാം വീട്ടിൽ പഠിക്കുന്നു,we is studying at home
122,avan vellam padikkunnu,അവൻ വെള്ളം പഠിക്കുന്നു,he is studying water
123,aval urangunnuu undo,അവൾ ഉറങ്ങുന്നു ഉണ്ടോ,is she sleeping?
124,avalu schulil pani cheyyunnu,അവൾ സ്കൂളിൽ ജോലി ചെയ്യുന്നു,she is working at school
125,aval vittil pokunnu,അവൾ വീട്ടിൽ പോകുന്നു,she is going at home
126,oorangoonnoo,ഉറങ്ങുന്നു,sleeping
127,avan padikkunnuu undo,അവൻ പഠിക്കുന്നു ഉണ്ടോ,is he studying?
128,nammal pusthakam varunnu,നാം പുസ്തകം വരുന്നു,we is coming book
129,aval chaaya urangunnu,അവൾ ചായ ഉറങ്ങുന്നു,she is sleeping tea
130,nammal chaaya kazhikkunnu,നാം ചായ കഴിക്കുന്നു,we is eating tea
131,avalu kazhikkunnu undo,അവൾ കഴിക്കുന്നു ഉണ്ടോ,is she eating?
132,avalu schoolil padikkunnu,അവൾ സ്കൂളിൽ പഠിക്കുന്നു,she is studying at school
133,nammalu coffi varunnu,നാം കാപ്പി വരുന്നു,we is coming coffee
134,aval pusthakam varunnu,അവൾ പുസ്തകം വരുന്നു,she is coming book
135,njanu chaaya urangunnu,ഞാൻ ചായ ഉറങ്ങുന്നു,I is sleeping tea
136,aval pokoonnoo undo,അവൾ പോകുന്നു ഉണ്ടോ,is she going?
137,njanu coffee pani cheyyunnuu,ഞാൻ കാപ്പി ജോലി ചെയ്യുന്നു,I is working coffee
138,nee veettil pokunnuu,നീ വീട്ടിൽ പോകുന്നു,you is going at home
139,avalu pokunnu undo,അവൾ പോകുന്നു ഉണ്ടോ,is she going?
140,aval pani cheyyunnuu undo,അവൾ ജോലി ചെയ്യുന്നു ഉണ്ടോ,is she working?
141,nammal urangunnu undo,നാം ഉറങ്ങുന്നു ഉണ്ടോ,is we sleeping?
142,avanu pokunnu undo,അവൻ പോകുന്നു ഉണ്ടോ,is he going?
143,avanu offeeceeel urangunnuu,അവൻ ഓഫീസിൽ ഉറങ്ങുന്നു,he is sleeping at office
144,nammal veettil varunnuu,നാം വീട്ടിൽ വരുന്നു,we is coming at home
145,nee varunnuu undo,നീ വരുന്നു ഉണ്ടോ,is you coming?
146,nee vellam kazhikkunnu,നീ വെള്ളം കഴിക്കുന്നു,you is eating water
147,njanu kazheekkunnu undo,ഞാൻ കഴിക്കുന്നു ഉണ്ടോ,is I eating?
148,aval veettil panee cheyyunnu,അവൾ വീട്ടിൽ ജോലി ചെയ്യുന്നു,she is working at home
149,avan padeekkunnu undo,അവൻ പഠിക്കുന്നു ഉണ്ടോ,is he studying?
150,aval veettil urangunnu,അവൾ വീട്ടിൽ ഉറങ്ങുന്നു,she is sleeping at home
151,ni schoolilu padikkunnu,നീ സ്കൂളിൽ പഠിക്കുന്നു,you is studying at school
152,avanu vellam pokunnu,അവൻ വെള്ളം പോകുന്നു,he is going water
153,nee pusthakam kazhikkunnu,നീ പുസ്തകം കഴിക്കുന്നു,you is eating book
154,avan varoonnoo undo,അവൻ വരുന്നു ഉണ്ടോ,is he coming?
155,nammal veettil kazhikkoonnoo,നാം വീട്ടിൽ കഴിക്കുന്നു,we is eating at home
156,nee poosthakam kazhikkunnuu,നീ പുസ്തകം കഴിക്കുന്നു,you is eating book
157,avanu varunnu undo,അവൻ വരുന്നു ഉണ്ടോ,is he coming?
158,avalu pusthakamu oorangoonnoo,അവൾ പുസ്തകം ഉറങ്ങുന്നു,she is sleeping book
159,njan veettil varoonnoo,ഞാൻ വീട്ടിൽ വരുന്നു,I is coming at home
160,aval veettil pani cheyyunnu,അവൾ വീട്ടിൽ ജോലി ചെയ്യുന്നു,she is working at home
161,aval schoolil varunnu,അവൾ സ്കൂളിൽ വരുന്നു,she is coming at school
162,njan pusthakam kazhikkunnu,ഞാൻ പുസ്തകം കഴിക്കുന്നു,I is eating book
163,nee varunnu undo,നീ വരുന്നു ഉണ്ടോ,is you coming?
164,njan kazheekkunnu undo,ഞാൻ കഴിക്കുന്നു ഉണ്ടോ,is I eating?
165,nee veettil pani cheyyunnu,നീ വീട്ടിൽ ജോലി ചെയ്യുന്നു,you is working at home
166,nee pusthakam kazhikkoonnoo,നീ പുസ്തകം കഴിക്കുന്നു,you is eating book
167,nee coffeeu urangunnu,നീ കാപ്പി ഉറങ്ങുന്നു,you is sleeping coffee
168,aval coffee kazhikkoonnoo,അവൾ കാപ്പി കഴിക്കുന്നു,she is eating coffee
169,aval vellam kazhikkunnu,അവൾ വെള്ളം കഴിക്കുന്നു,she is eating water
170,nammal coffee padikkunnu,നാം കാപ്പി പഠിക്കുന്നു,we is studying coffee
171,nee officeil varunnu,നീ ഓഫീസിൽ വരുന്നു,you is coming at office
172,aval coffi urangunnu,അവൾ കാപ്പി ഉറങ്ങുന്നു,she is sleeping coffee
173,aval schoolilu urangunnu,അവൾ സ്കൂളിൽ ഉറങ്ങുന്നു,she is sleeping at school
174,njan officeilu varunnu,ഞാൻ ഓഫീസിൽ വരുന്നു,I is coming at office
175,avan veettil panee cheyyunnu,അവൻ വീട്ടിൽ ജോലി ചെയ്യുന്നു,he is working at home
176,avan pusthakamu pani cheyyunnu,അവൻ പുസ്തകം ജോലി ചെയ്യുന്നു,he is working book
177,nammal vellam panee cheyyunnu,നാം വെള്ളം ജോലി ചെയ്യുന്നു,we is working water
178,nammal officeil pokunnu,നാം ഓഫീസിൽ പോകുന്നു,we is going at office
179,nee schoolil varunnu,നീ സ്കൂളിൽ വരുന്നു,you is coming at school
180,avan coffi kazheekkunnu,അവൻ കാപ്പി കഴിക്കുന്നു,he is eating coffee
181,njan padikkunnu undo,ഞാൻ പഠിക്കുന്നു ഉണ്ടോ,is I studying?
182,aval vellamu urangunnu,അവൾ വെള്ളം ഉറങ്ങുന്നു,she is sleeping water
183,nee poosthakam pokunnu,നീ പുസ്തകം പോകുന്നു,you is going book
184,neeu offeeceeel urangunnu,നീ ഓഫീസിൽ ഉറങ്ങുന്നു,you is sleeping at office
185,nammal vellamu pokunnuu,നാം വെള്ളം പോകുന്നു,we is going water
186,njan schulil pokunnu,ഞാൻ സ്കൂളിൽ പോകുന്നു,I is going at school
187,nammal vellam urangunnu,നാം വെള്ളം ഉറങ്ങുന്നു,we is sleeping water
188,avan pani cheyyoonnoo undo,അവൻ ജോലി ചെയ്യുന്നു ഉണ്ടോ,is he working?
189,njan coffee varunnu,ഞാൻ കാപ്പി വരുന്നു,I is coming coffee
190,avan schoolil pokunnu,അവൻ സ്കൂളിൽ പോകുന്നു,he is going at school
191,njanu schoolilu pokunnu,ഞാൻ സ്കൂളിൽ പോകുന്നു,I is going at school
192,njan pusthakam oorangoonnoo,ഞാൻ പുസ്തകം ഉറങ്ങുന്നു,I is sleeping book
193,njan coffee padikkunnu,ഞാൻ കാപ്പി പഠിക്കുന്നു,I is studying coffee
194,avan chaaya pokunnu,അവൻ ചായ പോകുന്നു,he is going tea
195,njan officeil pani cheyyunnu,ഞാൻ ഓഫീസിൽ ജോലി ചെയ്യുന്നു,I is working at office
196,avan kazhikkunnuu undo,അവൻ കഴിക്കുന്നു ഉണ്ടോ,is he eating?
197,varunnuu,വരുന്നു,coming
198,avan pusthakam oorangoonnoo,അവൻ പുസ്തകം ഉറങ്ങുന്നു,he is sleeping book
199,avan pokoonnoo undo,അവൻ പോകുന്നു ഉണ്ടോ,is he going?
200,njanu pusthakam kazheekkunnu,ഞാൻ പുസ്തകം കഴിക്കുന്നു,I is eating book
201,neeu chaya kazheekkunnu,നീ ചായ കഴിക്കുന്നു,you is eating tea
202,avan panee cheyyunnu undo,അവൻ ജോലി ചെയ്യുന്നു ഉണ്ടോ,is he working?
203,avan pusthakam pani cheyyunnu,അവൻ പുസ്തകം ജോലി ചെയ്യുന്നു,he is working book
204,njan officeil padeekkunnu,ഞാൻ ഓഫീസിൽ പഠിക്കുന്നു,I is studying at office
205,aval poosthakam padikkunnu,അവൾ പുസ്തകം പഠിക്കുന്നു,she is studying book
206,aval pusthakamu kazhikkunnu,അവൾ പുസ്തകം കഴിക്കുന്നു,she is eating book
207,aval chaya pani cheyyoonnoo,അവൾ ചായ ജോലി ചെയ്യുന്നു,she is working tea
208,aval schulil pani cheyyunnuu,അവൾ സ്കൂളിൽ ജോലി ചെയ്യുന്നു,she is working at school
209,aval vittil padikkoonnoo,അവൾ വീട്ടിൽ പഠിക്കുന്നു,she is studying at home
210,nee schoolil pokunnu,നീ സ്കൂളിൽ പോകുന്നു,you is going at school
211,njan chaaya pani cheyyunnu,ഞാൻ ചായ ജോലി ചെയ്യുന്നു,I is working tea
212,nammal schoolil kazhikkunnu,നാം സ്കൂളിൽ കഴിക്കുന്നു,we is eating at school
213,njan coffee pani cheyyoonnoo,ഞാൻ കാപ്പി ജോലി ചെയ്യുന്നു,I is working coffee
214,kazhikkunnuu,കഴിക്കുന്നു,eating
215,aval veetteel kazheekkunnu,അവൾ വീട്ടിൽ കഴിക്കുന്നു,she is eating at home
216,padeekkunnu,പഠിക്കുന്നു,studying
217,njan varunnuu undo,ഞാൻ വരുന്നു ഉണ്ടോ,is I coming?
218,avanu vellamu varunnu,അവൻ വെള്ളം വരുന്നു,he is coming water
219,nee oorangoonnoo undo,നീ ഉറങ്ങുന്നു ഉണ്ടോ,is you sleeping?
220,neeu schooleel pokoonnoo,നീ സ്കൂളിൽ പോകുന്നു,you is going at school
221,ni pani cheyyunnu undo,നീ ജോലി ചെയ്യുന്നു ഉണ്ടോ,is you working?
222,avan officeil varunnu,അവൻ ഓഫീസിൽ വരുന്നു,he is coming at office
223,nammal pusthakam padikkunnu,നാം പുസ്തകം പഠിക്കുന്നു,we is studying book
224,avanu veettilu urangunnu,അവൻ വീട്ടിൽ ഉറങ്ങുന്നു,he is sleeping at home
225,njan panee cheyyunnu undo,ഞാൻ ജോലി ചെയ്യുന്നു ഉണ്ടോ,is I working?
226,avan officeil pokunnu,അവൻ ഓഫീസിൽ പോകുന്നു,he is going at office
227,aval veetteel varunnuu,അവൾ വീട്ടിൽ വരുന്നു,she is coming at home
228,nammal coffeeu varunnu,നാം കാപ്പി വരുന്നു,we is coming coffee
229,nammal vellamu urangunnu,നാം വെള്ളം ഉറങ്ങുന്നു,we is sleeping water
230,aval chaaya panee cheyyunnu,അവൾ ചായ ജോലി ചെയ്യുന്നു,she is working tea
231,avalu chaaya urangunnu,അവൾ ചായ ഉറങ്ങുന്നു,she is sleeping tea
232,nammal panee cheyyunnu undo,നാം ജോലി ചെയ്യുന്നു ഉണ്ടോ,is we working?
233,njan pusthakamu kazheekkunnu,ഞാൻ പുസ്തകം കഴിക്കുന്നു,I is eating book
234,njan kazhikkoonnoo undo,ഞാൻ കഴിക്കുന്നു ഉണ്ടോ,is I eating?
235,nee schooleel varunnu,നീ സ്കൂളിൽ വരുന്നു,you is coming at school
236,neeu vellamu padikkunnu,നീ വെള്ളം പഠിക്കുന്നു,you is studying water
237,nammal veettil padikkunnuu,നാം വീട്ടിൽ പഠിക്കുന്നു,we is studying at home
238,nammal veettilu urangunnuu,നാം വീട്ടിൽ ഉറങ്ങുന്നു,we is sleeping at home
239,njan pusthakam pani cheyyoonnoo,ഞാൻ പുസ്തകം ജോലി ചെയ്യുന്നു,I is working book
240,nee chaaya panee cheyyunnu,നീ ചായ ജോലി ചെയ്യുന്നു,you is working tea
241,aval pusthakam pokunnu,അവൾ പുസ്തകം പോകുന്നു,she is going book
242,aval coffee varunnu,അവൾ കാപ്പി വരുന്നു,she is coming coffee
243,neeu chaayau pani cheyyunnu,നീ ചായ ജോലി ചെയ്യുന്നു,you is working tea
244,njan officeil kazhikkunnuu,ഞാൻ ഓഫീസിൽ കഴിക്കുന്നു,I is eating at office
245,njanu coffee pokunnu,ഞാൻ കാപ്പി പോകുന്നു,I is going coffee
246,njan offeeceeel padikkunnu,ഞാൻ ഓഫീസിൽ പഠിക്കുന്നു,I is studying at office
247,urangunnuu,ഉറങ്ങുന്നു,sleeping
248,avan officeil kazheekkunnu,അവൻ ഓഫീസിൽ കഴിക്കുന്നു,he is eating at office
249,ni pani cheyyunnuu undo,നീ ജോലി ചെയ്യുന്നു ഉണ്ടോ,is you working?
250,aval oorangoonnoo undo,അവൾ ഉറങ്ങുന്നു ഉണ്ടോ,is she sleeping?
251,njanu vellam padikkunnu,ഞാൻ വെള്ളം പഠിക്കുന്നു,I is studying water
252,nammalu kazhikkunnuu undo,നാം കഴിക്കുന്നു ഉണ്ടോ,is we eating?
253,njan schooleel varunnu,ഞാൻ സ്കൂളിൽ വരുന്നു,I is coming at school
254,avan veettilu kazheekkunnu,അവൻ വീട്ടിൽ കഴിക്കുന്നു,he is eating at home
255,njan pokunnuu undo,ഞാൻ പോകുന്നു ഉണ്ടോ,is I going?
256,aval officeilu kazhikkoonnoo,അവൾ ഓഫീസിൽ കഴിക്കുന്നു,she is eating at office
257,avan varunnu undo,അവൻ വരുന്നു ഉണ്ടോ,is he coming?
258,njan poosthakam kazheekkunnu,ഞാൻ പുസ്തകം കഴിക്കുന്നു,I is eating book
259,njan officeil pani cheyyunnuu,ഞാൻ ഓഫീസിൽ ജോലി ചെയ്യുന്നു,I is working at office
260,neeu officeil kazhikkoonnoo,നീ ഓഫീസിൽ കഴിക്കുന്നു,you is eating at office
261,njan schulil urangunnu,ഞാൻ സ്കൂളിൽ ഉറങ്ങുന്നു,I is sleeping at school
262,njan officeil kazhikkunnu,ഞാൻ ഓഫീസിൽ കഴിക്കുന്നു,I is eating at office
263,njan schoolil padikkunnu,ഞാൻ സ്കൂളിൽ പഠിക്കുന്നു,I is studying at school
264,avan chaaya kazhikkoonnoo,അവൻ ചായ കഴിക്കുന്നു,he is eating tea
265,nee pusthakam urangunnuu,നീ പുസ്തകം ഉറങ്ങുന്നു,you is sleeping book
266,aval pusthakam pani cheyyunnu,അവൾ പുസ്തകം ജോലി ചെയ്യുന്നു,she is working book
267,nammal schulil varunnuu,നാം സ്കൂളിൽ വരുന്നു,we is coming at school
268,nee pusthakam padikkoonnoo,നീ പുസ്തകം പഠിക്കുന്നു,you is studying book
269,aval officeil varunnu,അവൾ ഓഫീസിൽ വരുന്നു,she is coming at office
270,aval schoolil panee cheyyunnu,അവൾ സ്കൂളിൽ ജോലി ചെയ്യുന്നു,she is working at school
271,nee officeil pokunnu,നീ ഓഫീസിൽ പോകുന്നു,you is going at office
272,avan offeeceeel urangunnu,അവൻ ഓഫീസിൽ ഉറങ്ങുന്നു,he is sleeping at office
273,avan schoolil pani cheyyunnu,അവൻ സ്കൂളിൽ ജോലി ചെയ്യുന്നു,he is working at school
274,neeu varunnuu undo,നീ വരുന്നു ഉണ്ടോ,is you coming?
275,avalu vellam varoonnoo,അവൾ വെള്ളം വരുന്നു,she is coming water
276,nammal vellamu varunnu,നാം വെള്ളം വരുന്നു,we is coming water
277,avan offeeceeel padikkoonnoo,അവൻ ഓഫീസിൽ പഠിക്കുന്നു,he is studying at office
278,nee pusthakam varunnuu,നീ പുസ്തകം വരുന്നു,you is coming book
279,njan officeilu kazhikkunnu,ഞാൻ ഓഫീസിൽ കഴിക്കുന്നു,I is eating at office
280,nammalu offeeceeel pani cheyyunnu,നാം ഓഫീസിൽ ജോലി ചെയ്യുന്നു,we is working at office
281,aval offeeceeel pani cheyyunnuu,അവൾ ഓഫീസിൽ ജോലി ചെയ്യുന്നു,she is working at office
282,ni chaya varunnu,നീ ചായ വരുന്നു,you is coming tea
283,aval padikkunnu undo,അവൾ പഠിക്കുന്നു ഉണ്ടോ,is she studying?
284,njan chaya varoonnoo,ഞാൻ ചായ വരുന്നു,I is coming tea
285,nammal pusthakam pani cheyyunnu,നാം പുസ്തകം ജോലി ചെയ്യുന്നു,we is working book
286,avanu kazheekkunnu undo,അവൻ കഴിക്കുന്നു ഉണ്ടോ,is he eating?
287,njanu officeil kazhikkoonnoo,ഞാൻ ഓഫീസിൽ കഴിക്കുന്നു,I is eating at office
288,neeu padikkunnu undo,നീ പഠിക്കുന്നു ഉണ്ടോ,is you studying?
289,neeu coffee kazhikkoonnoo,നീ കാപ്പി കഴിക്കുന്നു,you is eating coffee
290,nammalu vellam kazheekkunnu,നാം വെള്ളം കഴിക്കുന്നു,we is eating water
291,nee pokunnu undo,നീ പോകുന്നു ഉണ്ടോ,is you going?
292,njanu veettil padikkunnu,ഞാൻ വീട്ടിൽ പഠിക്കുന്നു,I is studying at home
293,nammal kazhikkoonnoo undo,നാം കഴിക്കുന്നു ഉണ്ടോ,is we eating?
294,njan veettil varunnu,ഞാൻ വീട്ടിൽ വരുന്നു,I is coming at home
295,njan pusthakamu oorangoonnoo,ഞാൻ പുസ്തകം ഉറങ്ങുന്നു,I is sleeping book
296,aval varunnu undo,അവൾ വരുന്നു ഉണ്ടോ,is she coming?
297,avan schooleel panee cheyyunnu,അവൻ സ്കൂളിൽ ജോലി ചെയ്യുന്നു,he is working at school
298,avalu coffeeu varunnu,അവൾ കാപ്പി വരുന്നു,she is coming coffee
